Trial,Found,Guesses,Total 
gmax/Gm15,131,1085,156
gmax/Gm06,132,1016,164
gmax/Gm11,81,707,105
gmax/Gm19,114,985,152
gmax/Gm12,102,759,133
gmax/Gm16,76,842,103
gmax/Gm03,120,1057,153
gmax/Gm17,98,737,123
gmax/Gm13,82,613,93
gmax/Gm04,123,988,167
gmax/Gm14,129,1130,150
gmax/Gm10,143,965,179
gmax/Gm18,69,303,214
gmax/Gm02,120,918,157
gmax/Gm01,158,1246,210
gmax/Gm07,93,828,113
gmax/Gm20,114,968,144
gmax/Gm09,120,964,153
gmax/Gm08,69,788,87
gmax/Gm05,88,830,120
