Trial,Found,Guesses,Total 
gmax/Gm06,85,473,164
gmax/Gm13,55,1036,93
gmax/Gm08,46,1553,87
gmax/Gm20,76,2065,144
gmax/Gm07,61,2631,113
gmax/Gm16,54,2940,103
gmax/Gm14,87,3432,150
gmax/Gm17,64,3795,123
gmax/Gm01,118,4656,210
gmax/Gm12,62,5042,133
gmax/Gm10,92,5480,179
gmax/Gm19,70,6051,152
gmax/Gm05,55,6656,120
gmax/Gm09,82,7413,153
gmax/Gm15,86,8011,156
gmax/Gm04,87,8576,167
gmax/Gm03,71,9056,153
gmax/Gm02,86,9685,157
gmax/Gm11,55,10386,105
gmax/Gm18,40,10491,214
