Trial,Found,Guesses,Total 
gmax/Gm02,101,1078,157
gmax/Gm07,73,958,113
gmax/Gm12,84,860,133
gmax/Gm18,59,314,214
gmax/Gm16,72,876,103
gmax/Gm04,114,1167,167
gmax/Gm14,113,1282,150
gmax/Gm10,114,1115,179
gmax/Gm09,102,1045,153
gmax/Gm19,97,1171,152
gmax/Gm17,79,816,123
gmax/Gm01,124,1350,210
gmax/Gm20,89,1120,144
gmax/Gm13,74,643,93
gmax/Gm03,95,1156,153
gmax/Gm06,116,1143,164
gmax/Gm15,109,1193,156
gmax/Gm05,72,938,120
gmax/Gm08,61,854,87
gmax/Gm11,62,783,105
